Press A for autonomous mode
Press other for hand mode
Choose : Start
0.325561 0.028941 90.024700
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
0.440651 -0.481444 91.112300
-0.009562 -0.261831 88.780800
0.215523 -0.493023 89.955500
0.215523 -0.493023 89.955500
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
-0.019666 -0.028808 88.753800
0.172707 -0.450167 87.691700
-0.191377 -0.263747 89.925300
-0.009562 -0.261831 88.780800
0.296924 -0.173926 92.364500
0.215523 -0.493023 89.955500
0.219792 -0.999224 92.901300
0.440651 -0.481444 91.112300
0.440651 -0.481444 91.112300
0.215523 -0.493023 89.955500
-0.019666 -0.028808 88.753800
0.440651 -0.481444 91.112300
-0.009562 -0.261831 88.780800
-0.012071 -0.443046 88.827000
-0.019666 0.024411 91.246200
0.215523 -0.493023 89.955500
0.172707 -0.450167 87.691700
0.440651 -0.481444 91.112300
0.196540 -0.663627 87.554700
-0.009562 -0.261831 88.780800
-0.012071 -0.443046 88.827000
-0.009562 -0.261831 88.780800
0.547072 -0.182517 88.968100
0.215523 -0.493023 89.955500
0.172707 -0.450167 87.691700
-0.019666 -0.028808 88.753800
0.172707 -0.450167 87.691700
0.440651 -0.481444 91.112300
0.196540 -0.663627 87.554700
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
0.271322 -0.002400 92.385900
0.174465 -0.422759 87.626700
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
0.271322 -0.002400 92.385900
0.174465 -0.422759 87.626700
-0.009562 -0.261831 88.780800
0.196540 -0.663627 87.554700
0.440651 -0.481444 91.112300
0.172707 -0.450167 87.691700
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
0.156944 0.187396 89.996100
-0.019666 -0.028808 88.753800
0.196540 -0.663627 87.554700
-0.019666 -0.028808 88.753800
0.440651 -0.481444 91.112300
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
-0.019666 -0.028808 88.753800
0.325561 0.028941 90.024700
0.215523 -0.493023 89.955500
0.271322 -0.002400 92.385900
0.409873 -0.261966 91.152500
-0.009562 -0.261831 88.780800
0.019846 -0.187170 91.379000
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
0.296924 -0.173926 92.364500
0.156944 0.187396 89.996100
-0.009562 -0.261831 88.780800
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
-0.019666 -0.028808 88.753800
0.440651 -0.481444 91.112300
0.172707 -0.450167 87.691700
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
0.271322 -0.002400 92.385900
-0.009562 -0.261831 88.780800
-0.019666 -0.028808 88.753800
-0.019666 -0.028808 88.753800
0.099886 0.022430 91.123300
-0.009562 -0.261831 88.780800
-0.191377 -0.263747 89.925300
-0.204137 -0.002203 90.000000
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
0.296924 -0.173926 92.364500
0.013994 -0.480809 88.641000
0.215523 -0.493023 89.955500
-0.019666 -0.028808 88.753800
0.196540 -0.663627 87.554700
0.215523 -0.493023 89.955500
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
0.440651 -0.481444 91.112300
0.196540 -0.663627 87.554700
-0.019666 -0.028808 88.753800
0.325561 0.028941 90.024700
-0.019666 -0.028808 88.753800
0.215523 -0.493023 89.955500
0.215523 -0.493023 89.955500
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
0.215523 -0.493023 89.955500
-0.009562 -0.261831 88.780800
0.172707 -0.450167 87.691700
-0.009562 -0.261831 88.780800
0.242787 0.169159 92.349700
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
-0.009562 -0.261831 88.780800
-0.019666 -0.028808 88.753800
-0.009562 -0.261831 88.780800
0.440651 -0.481444 91.112300
-0.191377 -0.263747 89.925300
-0.191377 -0.263747 89.925300
